,Danceability,Mode,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),ID_CHECK,Song name,Artist,Album,ID
0,0.841,0,0.644,9,-3.284,0.083,0.594,0.00402,0.142,0.881,108.003,255608,1KpBtWSI9dlv0RjtzvF1BD,"Soco (feat. Wizkid, Ceeza Milli, Spotless & Terri)",StarBoy,"Soco (feat. Wizkid, Ceeza Milli, Spotless & Terri)",1KpBtWSI9dlv0RjtzvF1BD
1,0.966,1,0.633,2,-6.392,0.101,0.0206,4.06e-06,0.0715,0.767,108.011,199000,7r63gCX2EkN81DGBWRAICS,Drogba (Joanna),Afro B,Drogba (Joanna),7r63gCX2EkN81DGBWRAICS
2,0.503,0,0.592,5,-5.923,0.444,0.0181,0.00014,0.169,0.344,201.85,231618,3FskQrDXcY24ur2fCvz35O,Ye,Burna Boy,Outside,3FskQrDXcY24ur2fCvz35O
3,0.74,1,0.771,5,-4.7,0.122,0.379,0.0,0.0889,0.824,100.019,263027,2irIMb2mjl8lgVzDC5w8Sf,Jogodo,Tekno,Jogodo,2irIMb2mjl8lgVzDC5w8Sf
4,0.736,0,0.786,3,-4.988,0.067,0.331,3.14e-05,0.186,0.862,103.956,231053,4MkbdZcp1AvrxRRzZGBDiR,Yur Luv,Tekno,Yur Luv,4MkbdZcp1AvrxRRzZGBDiR
5,0.741,1,0.762,10,-6.089,0.0346,0.307,0.0,0.318,0.784,102.965,195728,0fo5yR8hiwK96QXnOkyPvf,Adiepena,KiDi,Adiepena,0fo5yR8hiwK96QXnOkyPvf
6,0.863,0,0.882,6,-2.396,0.0611,0.0134,5.6e-05,0.078,0.643,103.988,188741,44SSviC4R1TkAdsyptjDpE,Anybody,Burna Boy,African Giant,44SSviC4R1TkAdsyptjDpE
7,0.735,0,0.761,10,-4.219,0.0496,0.0548,1.78e-06,0.0482,0.79,94.025,198679,6eHqU8ntHGzddACoxlfDX0,Jam (feat. Wizkid),StarBoy,SoundMan Vol. 1,6eHqU8ntHGzddACoxlfDX0
8,0.798,0,0.813,4,-5.869,0.162,0.564,0.000142,0.108,0.942,93.912,187609,7rpWDu9GPlLxbLorYKVys7,Gbona,Burna Boy,African Giant,7rpWDu9GPlLxbLorYKVys7
9,0.785,1,0.806,11,-5.34,0.0558,0.142,0.000285,0.147,0.539,105.001,165448,02KGBPy9mVdvo4dPXxt3h5,Baby,Joeboy,Baby,02KGBPy9mVdvo4dPXxt3h5
10,0.79,1,0.693,0,-5.767,0.0605,0.042,0.0267,0.079,0.855,91.991,190109,6pdip6qgVJOI5JxqgbAlu6,JA ARA E,Beyoncé,The Lion King: The Gift,6pdip6qgVJOI5JxqgbAlu6
11,0.881,0,0.774,11,-1.71,0.053,0.154,0.00381,0.059,0.776,120.986,234055,2q8pwL0okH2NEJLs0Mdo0Y,Up Tempo,Tekno,Up Tempo,2q8pwL0okH2NEJLs0Mdo0Y
12,0.874,0,0.721,2,-4.084,0.0556,0.191,0.0,0.215,0.908,111.989,260108,2yM028DLW33qcUlLAH2ml0,"Kpo K3K3 (feat. Medikal, DarkoVibes, Kelvyn Boy, and Kwesi Arthur",Stonebwoy,"Kpo K3K3 (feat. Medikal, DarkoVibes, Kelvyn Boy, and Kwesi Arthur)",2yM028DLW33qcUlLAH2ml0
13,0.887,0,0.836,5,-3.347,0.0687,0.323,0.0,0.274,0.851,107.994,226667,45RekOWSS4MBAvWPXPJNbr,Oofeets,Sarkodie,Oofeets,45RekOWSS4MBAvWPXPJNbr
14,0.745,1,0.743,6,-5.362,0.119,0.131,0.0,0.0979,0.533,105.11,213360,6YOFW94Vha0L3ph7GvT10e,Nobody,Kwesi Arthur,Live From Nkrumah Krom Vol II: Home Run,6YOFW94Vha0L3ph7GvT10e
15,0.9,0,0.634,7,-5.155,0.0903,0.512,6.42e-05,0.105,0.726,103.032,160810,5yO8hr0YlzkKeLYUTEkXsE,Anthem,Kwesi Arthur,Anthem,5yO8hr0YlzkKeLYUTEkXsE
16,0.821,0,0.721,6,-6.415,0.0542,0.288,0.00819,0.096,0.403,106.939,198750,7EYlHeoQ6wKmvUyZ08FdXB,Superman,Twitch 4EVA,Superman,7EYlHeoQ6wKmvUyZ08FdXB
17,0.895,0,0.718,2,-4.579,0.0581,0.246,1.45e-05,0.0892,0.88,100.036,147143,4FtuDjqmTPP9mjxygLKzEm,Omo,Burna Boy,African Giant,4FtuDjqmTPP9mjxygLKzEm
18,0.876,0,0.808,3,-5.382,0.176,0.107,0.00447,0.121,0.745,112.923,220885,4cxyQw1AKCVqa9JVSN7njk,Killin Dem,Zlatan,Killin Dem,4cxyQw1AKCVqa9JVSN7njk
19,0.922,0,0.666,3,-4.97,0.0609,0.202,0.00386,0.105,0.7,110.015,179775,1sBX7EfLOgP3u6gHJBSqQg,Dumebi,Rema,Rema,1sBX7EfLOgP3u6gHJBSqQg
20,0.746,0,0.786,4,-5.67,0.0472,0.106,0.000128,0.622,0.282,102.996,216712,7Ewd1NIKEKM1VokE0QeraM,Jealous (feat. Fire Boy),YBNL MaFia Family,YBNL MaFia Family,7Ewd1NIKEKM1VokE0QeraM
21,0.75,1,0.404,2,-11.343,0.0903,0.161,0.0,0.0863,0.763,96.965,195074,5u85l53Y04W59OfzQUsQX6,Gum Body (feat. Jorja Smith),Burna Boy,African Giant,5u85l53Y04W59OfzQUsQX6
22,0.714,1,0.702,8,-4.544,0.264,0.15,0.0,0.0993,0.74,126.511,270316,56HnJIjgi41kpjh6L3Y1Ca,Risky,Davido,Risky,56HnJIjgi41kpjh6L3Y1Ca
23,0.865,1,0.712,2,-4.206,0.0583,0.237,0.0155,0.0893,0.821,116.029,219310,1alvkxYJx3AcVERNyFJRmF,Disturbance (feat. Peruzzi),Davido,A Good Time,1alvkxYJx3AcVERNyFJRmF
24,0.878,0,0.668,6,-7.076,0.107,0.149,0.000116,0.1,0.962,109.955,158053,5wHi0nR9PGCygrfhSxI3Hq,Beginning,Joeboy,Beginning,5wHi0nR9PGCygrfhSxI3Hq
25,0.828,1,0.521,8,-7.883,0.0564,0.66,0.00207,0.131,0.497,106.132,152242,4AdxRKOGGzzqNYaAn9F145,Don't Call Me Back,Joeboy,Don't Call Me Back,4AdxRKOGGzzqNYaAn9F145
26,0.686,0,0.694,7,-3.693,0.257,0.253,0.000904,0.109,0.587,189.998,262737,3Yt1ovsh3v3VEzRuhI1TL5,Joro,Wizkid,Joro,3Yt1ovsh3v3VEzRuhI1TL5
27,0.791,1,0.828,11,-6.908,0.0477,0.466,1.17e-05,0.109,0.883,103.983,198462,7u0z6FcJDqkZwdpqAqUzmO,Vibration,Fireboy DML,"Laughter, Tears & Goosebumps",7u0z6FcJDqkZwdpqAqUzmO
28,0.747,0,0.64,4,-4.766,0.0899,0.0355,8.07e-05,0.338,0.173,201.999,192624,6gAU6YgNzWdyBN4j1ec66T,Skeletun,Tekno,Skeletun,6gAU6YgNzWdyBN4j1ec66T
29,0.849,0,0.862,9,-3.541,0.161,0.2,0.00455,0.0658,0.619,119.999,214000,0b4KxqG2zGWDh3iH571a7D,Mafo,Naira Marley,Mafo,0b4KxqG2zGWDh3iH571a7D
30,0.74,0,0.852,2,-7.323,0.0453,0.51,0.123,0.158,0.903,102.015,197559,5srIkb35ees5dhgjK3zdfz,Collateral Damage,Burna Boy,African Giant,5srIkb35ees5dhgjK3zdfz
31,0.71,0,0.603,8,-7.234,0.11,0.33,0.0,0.358,0.434,109.812,248727,2ylO41DTQwQv1QH1mSP3cH,"Sweet in the Middle (feat. Wurld, Naira Marley & Zlatan)",Davido,A Good Time,2ylO41DTQwQv1QH1mSP3cH
32,0.917,1,0.901,0,-4.424,0.152,0.155,0.000465,0.0933,0.668,118.989,173713,7gSlSNvxiHC9HrKKbgKzYd,Bolanle,IVD,Bolanle,7gSlSNvxiHC9HrKKbgKzYd
33,0.755,0,0.806,0,-4.618,0.0479,0.544,0.000114,0.0908,0.892,98.008,252245,5mN3xSyvCmFy1jkdA98IfS,Fever,Wizkid,Fever,5mN3xSyvCmFy1jkdA98IfS
34,0.722,1,0.807,4,-5.698,0.0623,0.362,0.00594,0.143,0.748,102.244,209268,2CgKiJtYbJKzkJpo2J4Ks6,So Fine,Crayon,Cray Cray,2CgKiJtYbJKzkJpo2J4Ks6
35,0.9,1,0.806,1,-4.816,0.246,0.159,0.00971,0.0811,0.671,123.038,174043,67Ar5yu8mH1rOVInvnsG0U,Soapy,Naira Marley,Soapy,67Ar5yu8mH1rOVInvnsG0U
36,0.845,1,0.805,1,-4.878,0.207,0.0763,0.00012,0.136,0.684,122.046,208582,1D7RpT4p5j72tan4NvEdCY,PXTA,Naira Marley,PXTA,1D7RpT4p5j72tan4NvEdCY
37,0.758,0,0.584,9,-2.862,0.0751,0.62,0.00252,0.0835,0.769,101.929,233012,16PlSKMa2N4Xu7jT7ia0wg,Low,Larry Gaaga,Low,16PlSKMa2N4Xu7jT7ia0wg
38,0.889,1,0.798,0,-6.62,0.256,0.0245,0.0,0.0671,0.594,119.969,213375,49Zxa1yQ9miyQSzuuKBYq9,Lady,Rema,Bad Commando,49Zxa1yQ9miyQSzuuKBYq9
39,0.494,0,0.777,7,-3.009,0.13,0.335,0.0911,0.116,0.506,95.012,227456,45DflAgf5cA8pFRmwV3JMM,Corny,Rema,Rema,45DflAgf5cA8pFRmwV3JMM
40,0.804,1,0.782,0,-3.905,0.0374,0.488,0.00403,0.1,0.757,105.018,212663,5FX6roFt99Mz2erVg8t5sN,Power Rangers,Teni,Power Rangers,5FX6roFt99Mz2erVg8t5sN
41,0.849,1,0.783,8,-3.919,0.369,0.425,5.14e-06,0.266,0.601,118.121,148821,7lWPp0cGS1w5JYEJ8NB3n5,Am I a Yahoo Boy,Naira Marley,Am I a Yahoo Boy,7lWPp0cGS1w5JYEJ8NB3n5
