,Danceability,Mode,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),ID_CHECK,Song name,Artist,Album,ID
0,0.71,0,0.634,9,-6.187,0.0423,0.74,0.0168,0.293,0.569,117.908,120280,2ACZWbzw9Ts1OcdUm7iEv2,Flowers,Andre Soueid,Flowers,2ACZWbzw9Ts1OcdUm7iEv2
1,0.453,1,0.0741,7,-19.614,0.0704,0.842,0.625,0.154,0.24,78.747,368584,0BtpoYEMZmf7UshsWf2kk1,Bab Al-Amal,Naseer Shamma,ABWAB,0BtpoYEMZmf7UshsWf2kk1
2,0.248,0,0.393,9,-15.735,0.035,0.418,0.908,0.104,0.53,188.859,152816,2jkrGagEAt8WrQ6NyF8Lsy,Leila,Clarissa Bitar,Leila,2jkrGagEAt8WrQ6NyF8Lsy
3,0.667,0,0.491,7,-11.505,0.0346,0.602,0.0336,0.134,0.328,96.07,200428,4SEBwtTvMcr3cEepMx615O,Waed Menni - Mako Menni,Andre Soueid,Waed Menni - Mako Menni,4SEBwtTvMcr3cEepMx615O
4,0.519,0,0.362,4,-13.074,0.0528,0.897,0.681,0.0936,0.845,136.488,423040,3swuxKVpQZXjhnH4OhRbgJ,Wedding,Sumak Trio,Ein Sof,3swuxKVpQZXjhnH4OhRbgJ
5,0.53,1,0.247,5,-14.875,0.0794,0.816,0.771,0.0965,0.361,124.64,762667,0jEJtvXKKMiCbPM4oxhagq,Fôg El-Nakhel,Munir Bashir,Duo de 'ûd,0jEJtvXKKMiCbPM4oxhagq
6,0.799,0,0.513,10,-12.769,0.0838,0.00835,0.88,0.0878,0.307,114.991,604050,6L6Ec14wqbSe9SHmLV7BsJ,Chased - Abel Ray & Daniel Sehnawi English Rework,Adnan Joubran,Chased / Remixes,6L6Ec14wqbSe9SHmLV7BsJ
7,0.711,0,0.497,9,-16.315,0.0338,0.13,0.905,0.107,0.171,109.968,196364,74XuRalgQ4MRLOt30Y3R6c,Shine Again,Baha Yetkin,Shine Again,74XuRalgQ4MRLOt30Y3R6c
8,0.526,1,0.285,0,-14.188,0.0632,0.906,0.847,0.0916,0.564,121.202,461307,6dQLMeJ9MAGBuf5Fxc7Dqy,Samai Nahawand - Mother and Son,Sumak Trio,Ein Sof,6dQLMeJ9MAGBuf5Fxc7Dqy
9,0.609,0,0.7,10,-7.304,0.0377,0.138,0.568,0.128,0.392,89.99,213738,63BMldQAjrTJuEGMHwaMeM,Bliss,Hisham Kharma,Bliss,63BMldQAjrTJuEGMHwaMeM
10,0.365,0,0.949,5,-3.128,0.0391,0.338,0.71,0.709,0.803,88.939,527387,0h412ITPjKM88ux0dDiN3Q,"Pharaon - Live In Budapest, Hungary/ 2014",Omar Bashir,The Legend Live In Concert,0h412ITPjKM88ux0dDiN3Q
11,0.634,0,0.576,0,-11.993,0.0363,0.888,0.903,0.164,0.615,160.035,297721,35kpXNnYQMIn1hRonAmO77,Ritual ( Nay & Oud ),Yasser Farouk,Arabic Music Background,35kpXNnYQMIn1hRonAmO77
12,0.611,0,0.859,7,-5.704,0.0995,0.603,0.699,0.0814,0.837,121.898,379930,4euVQxi2mhAOfJAJzFmHNG,El Nasseem,Nesma,El Nasseem (Oriental Dance Music Volume 3),4euVQxi2mhAOfJAJzFmHNG
13,0.613,0,0.366,0,-13.795,0.0491,0.861,0.863,0.107,0.491,123.111,269940,0izmNKhsS5HgKPTCKdNSQ0,Big Fish - Instrumentale,Karim Baggili,Kali City,0izmNKhsS5HgKPTCKdNSQ0
14,0.271,0,0.26,10,-20.431,0.0376,0.799,0.944,0.105,0.0383,123.879,83957,5sTI61B2BG4FXXdRGbvWpY,Burning Sun,Invadable Harmony,Journey Through the Desert,5sTI61B2BG4FXXdRGbvWpY
15,0.766,0,0.54,7,-9.262,0.0347,0.472,0.943,0.0885,0.746,113.375,344250,2uPKBG61IdiVNoCP7mFCIq,Mihrimah,Billy Esteban,Mediterranean Sunset,2uPKBG61IdiVNoCP7mFCIq
16,0.524,0,0.251,10,-13.968,0.0383,0.909,0.853,0.106,0.197,100.399,414400,5EkDLDIL11VTzvR7RvaTmN,Letter 1. Eastern Love – Sinan,Rahim AlHaj,Letters from Iraq: Oud and String Quintet,5EkDLDIL11VTzvR7RvaTmN
17,0.713,1,0.819,0,-6.954,0.0951,0.25,0.104,0.104,0.775,110.015,278510,1EC90zzmplV4kvNEfOu91N,Babi Meyanse,Mario Kirlis,Oriental Dreams,1EC90zzmplV4kvNEfOu91N
18,0.396,1,0.681,9,-15.893,0.0458,0.0449,0.714,0.0892,0.822,188.059,220102,0LBVGlKHSZpGhfSbU9VQCH,Saharah,Various Artists,Most Beautiful Songs 2,0LBVGlKHSZpGhfSbU9VQCH
19,0.432,0,0.787,4,-5.305,0.0484,0.243,0.0454,0.308,0.817,141.045,397587,5OKillct8q6A7ZmgcyiVTC,Ushaq Masri,Mario Kirlis,Al Qawa,5OKillct8q6A7ZmgcyiVTC
20,0.437,0,0.394,2,-11.34,0.0437,0.854,0.928,0.102,0.726,82.923,367360,0XRnYF7K2NOgUvCV30eHCS,Semaai Nahawand,Twais,Insan,0XRnYF7K2NOgUvCV30eHCS
21,0.526,0,0.676,0,-8.99,0.0294,0.854,0.832,0.0889,0.641,126.754,247747,0QQFyCICPFLF14WK7t1ppf,Romantic Story,Majid Nazempour,Ziryab,0QQFyCICPFLF14WK7t1ppf
22,0.599,1,0.747,7,-7.049,0.0491,0.597,0.927,0.0906,0.838,172.001,240080,6CAhSsfBQqdJvFpbNiCEZl,Raheel,Andre Hajj Ensemble,Instrumental Music from Lebanon,6CAhSsfBQqdJvFpbNiCEZl
23,0.732,1,0.437,0,-11.062,0.0439,0.842,0.7,0.108,0.923,136.608,208227,5sfI8bFL05qkf7vfUooDte,Andaloussian Dance [Morocco],Various Artists,Oriental Violin - Middle eastern instrumental music,5sfI8bFL05qkf7vfUooDte
24,0.457,1,0.322,5,-10.794,0.0367,0.97,0.432,0.165,0.804,100.011,214621,75miTyQi6XsDMZK7yUIhg3,Oman,Various Artists,Mehdi Rajabian: Middle Eastern,75miTyQi6XsDMZK7yUIhg3
25,0.478,1,0.456,7,-13.153,0.0581,0.107,0.906,0.242,0.572,130.767,373990,2Gz1j3sTWTrt10dXBerwEn,Quick Five,The Khoury Project,Revelation,2Gz1j3sTWTrt10dXBerwEn
26,0.36,0,0.0592,0,-22.885,0.0429,0.985,0.906,0.055,0.131,82.627,481507,06KoWveyWUuK1BGVU4a0Es,Le pas du chat noir,Anouar Brahem,Le pas du chat noir,06KoWveyWUuK1BGVU4a0Es
27,0.487,1,0.326,10,-14.927,0.044,0.661,0.853,0.106,0.0974,123.183,323293,3dSmRxR1BLGWSIoj7uT6OO,Clay,Le Trio Joubran,The Long March,3dSmRxR1BLGWSIoj7uT6OO
28,0.474,1,0.597,0,-5.925,0.0524,0.586,0.224,0.168,0.636,108.158,655200,5GS2tMdi4YPB3IsGnvd5CF,El Helwa Di,Zakariya Ahmed,Arabian Nights (Traditional Arabic Music),5GS2tMdi4YPB3IsGnvd5CF
29,0.606,0,0.43,5,-14.166,0.0425,0.821,0.937,0.119,0.0619,143.97,343507,5lLGeplEFzXERBCSlWo0zk,The Lost Dream,Amr Ismail,Rahil Trance,5lLGeplEFzXERBCSlWo0zk
30,0.569,0,0.241,9,-17.284,0.0301,0.764,0.711,0.207,0.513,134.674,168556,6umTalGUDF1hSmH6TAjRkB,Leqaa,Omar Khairat,Rabsoudeya Arabeya,6umTalGUDF1hSmH6TAjRkB
31,0.556,0,0.0416,0,-17.97,0.0577,0.425,0.1,0.0585,0.0377,151.945,213627,6HjqswZXM1CqdBUgW0dhfS,Khoutwa Baad Mountassaf El Leil,Munir Bachir,Aoud Around the Arab World,6HjqswZXM1CqdBUgW0dhfS
32,0.222,0,0.154,1,-17.758,0.0448,0.979,0.959,0.102,0.0794,72.456,616387,1HKWbRWyRWI21GlA4IV2lE,Sad Violin,Yasser Farouk,Sad Ney (Instrumental),1HKWbRWyRWI21GlA4IV2lE
33,0.362,0,0.387,0,-14.468,0.0362,0.732,0.2,0.0648,0.552,138.592,416107,6rvZ1AaesN7IvzD01JKkmx,Rahil,Various Artists,Rough Guide To Arabic Revolution,6rvZ1AaesN7IvzD01JKkmx
34,0.568,0,0.293,8,-13.398,0.031,0.286,0.155,0.0683,0.373,115.808,324560,2GtbWH6Q7J0gAJaaU4koCC,Nahr El Khoof,Omar Khairat,"The Music of Egypt, Vol. 2",2GtbWH6Q7J0gAJaaU4koCC
35,0.199,0,0.0796,2,-29.703,0.041,0.924,0.644,0.131,0.0351,111.298,119019,0kNsh9Wh111Kzxdegm7uaB,Sahara,Invadable Harmony,Sahara,0kNsh9Wh111Kzxdegm7uaB
36,0.386,1,0.385,0,-11.776,0.0264,0.56,0.156,0.0861,0.451,82.602,287544,6InQzKC4DmAJfHxrp5Xvgi,Horop,Omar Khairat,Fatma,6InQzKC4DmAJfHxrp5Xvgi
