,Danceability,Mode,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),ID_CHECK,Song name,Artist,Album,ID
0,0.626,1,0.845,5,-5.765,0.0385,0.792,0.0001,0.133,0.556,139.086,230975,6BoBWF8xUelmQsW6JQwZVJ,,Various Artists,,6BoBWF8xUelmQsW6JQwZVJ
1,0.68,1,0.895,0,-4.623,0.0359,0.0338,0.0,0.202,0.455,120.035,216059,1hP0tVzO1huZGj8mGBIP33,,Various Artists,,1hP0tVzO1huZGj8mGBIP33
2,0.608,0,0.774,4,-5.048,0.0297,0.551,0.0,0.0935,0.449,117.03,289332,2AjStNCJyvn8wvyOsBTtOR,,Various Artists,,2AjStNCJyvn8wvyOsBTtOR
3,0.637,0,0.705,1,-6.859,0.0413,0.485,0.0,0.0911,0.809,147.978,285936,7qH7fgAYSYoDv2rwKY6RK9,Imma Heartbreaker - JustaTee ft Emily n LK,JustaTee,JUST-A-TEE,7qH7fgAYSYoDv2rwKY6RK9
4,0.78,0,0.596,8,-5.97,0.0337,0.628,0.0,0.0841,0.92,109.998,231381,1qwTF8sn8OuzENn1YKfF0w,Xin Anh Dung,Various Artists,Xin Anh Dung,1qwTF8sn8OuzENn1YKfF0w
5,0.665,0,0.795,9,-5.479,0.0537,0.472,0.0,0.556,0.973,120.013,230388,4mvaDFzAqu5Tm5BbrWHzXP,Tinh Co,Various Artists,Xin Anh Dung,4mvaDFzAqu5Tm5BbrWHzXP
6,0.514,1,0.395,5,-6.533,0.0319,0.668,0.0,0.111,0.212,123.76,294192,0rJFAdSazB2cogwajbroYa,Qua Dem Nay - Ha Anh Tuan ft Phuong Linh,Ha Anh Tuan - Phuog Linh,Anh Yeu Em,0rJFAdSazB2cogwajbroYa
7,0.833,1,0.405,1,-11.555,0.0757,0.494,0.0,0.129,0.599,109.974,298057,5KgRBx9jvzuQJlxc44WWVd,,Various Artists,,5KgRBx9jvzuQJlxc44WWVd
8,0.587,0,0.736,8,-3.752,0.0404,0.0883,0.0,0.0667,0.569,169.873,197721,4R0iqFhSDzOE6SpYmh59Rk,Nóng (feat. Hạnh Sino),Big Daddy,Nóng (feat. Hạnh Sino),4R0iqFhSDzOE6SpYmh59Rk
9,0.605,0,0.411,7,-6.52,0.026,0.529,1.55e-05,0.069,0.408,99.956,291440,1kxn71KlCsJlD5k7Dfvnsg,Gio Buot Tim,Akira Phan,Co Giau Noi Dau,1kxn71KlCsJlD5k7Dfvnsg
10,0.432,0,0.498,6,-4.393,0.0306,0.774,0.0,0.13,0.425,177.91,267311,4uBzffuRdoIQoRmxOxIoOU,Dieu Ngot Ngao Nhat,VpOp,The Best Vpop 09,4uBzffuRdoIQoRmxOxIoOU
11,0.676,0,0.534,11,-7.172,0.0277,0.798,1.69e-05,0.105,0.418,120.027,256981,0kpd64nzZhI8JRZ7p2ECp3,Neu La Anh,The Men,Ngan Noi Nho Gui Den Em,0kpd64nzZhI8JRZ7p2ECp3
